编号,CAS,原料名称,英文名,分子式,化学结构式,分子量,沸点,溶解性,晶态,电子烟国际最大用量,天然存在,适用范围,香气气味描述,香气气调描述,塔容量(1% in PG),抽吸评判描述,成本(元/g)
001,4940-11-8,乙基麦芽酚,Ethyl Maltol,C7H8O3,,140.14,161.0,溶于水、乙醇,针状晶体,5.0,否,食品/电子烟,甜的，焦糖，果酱,甜香,8.5,入口顺滑，回甜,0.35
002,121-33-5,香兰素,Vanillin,C8H8O3,,152.15,285.0,微溶于水，溶于乙醇,针状晶体,10.0,是,食品/电子烟,甜的，香草，奶油味,香草调,7.2,香草味突出，后调持久,0.42
003,51115-67-4,WS-23,WS-23,C10H21NO,,171.28,120.0,溶于PG,无色液体,3.0,否,电子烟,凉，薄荷醇,凉感,9.0,清凉感强，无刺激,1.2
004,89-78-1,薄荷脑,dl-Menthol,C10H20O,,156.27,212.0,微溶于水，溶于乙醇,棱柱状晶体,8.0,是,食品/电子烟,胡椒薄荷，凉，木质,薄荷调,8.0,凉感自然，略带辛辣,0.28
005,121-32-4,乙基香兰素,Ethyl Vanillin,C9H10O3,,166.18,295.0,微溶于水，溶于乙醇,针状晶体,8.0,否,食品/电子烟,甜的，奶油味，香草,香草调,7.5,香草味更浓郁,0.55
006,706-14-9,γ-癸内酯,gamma-Decalactone,C10H18O2,,170.25,281.0,微溶于水，溶于乙醇,无色液体,5.0,是,食品/电子烟,桃子，椰子，甜的,果香调,6.8,桃味自然，甜润,0.88
007,104-67-6,桃醛,gamma-Undecalactone,C11H20O2,,184.28,297.0,微溶于水,无色液体,4.0,是,食品/电子烟,果味，桃子，奶油味,果香调,6.5,桃味浓郁，后调甜,0.95
008,118-71-8,麦芽酚,Maltol,C6H6O3,,126.11,160.0,溶于热水,针状晶体,6.0,是,食品/电子烟,甜的，焦糖，棉花糖,甜香,7.8,焦糖感明显,0.3
009,91-22-5,喹啉,Quinoline,C9H7N,,129.16,238.0,微溶于水，溶于乙醇,无色液体,0.5,是,烟草,药草，霉味，烟草,烟草调,3.2,烟草本味，略苦,0.65
010,14667-55-1,"2,3,5-三甲基吡嗪",Trimethylpyrazine,C7H10N2,,122.17,171.0,溶于水和乙醇,无色液体,2.0,是,食品/电子烟,坚果，可可，烤的,坚果调,5.5,坚果味突出,0.48
011,22047-25-2,2-乙酰基吡嗪,Acetylpyrazine,C6H6N2O,,122.13,185.0,溶于水,白色晶体,1.5,否,食品/电子烟,爆米花，坚果，玉米,坚果调,6.0,爆米花香明显,0.52
012,8007-08-7,姜油,Ginger Oil,,,,,溶于乙醇,黄色液体,2.0,是,食品/电子烟,辛辣，姜，木质,辛香调,4.5,姜味自然，微辛,1.85
013,8016-20-4,柠檬油,Lemon Oil,,,,,溶于乙醇,淡黄色液体,3.0,是,食品/电子烟,柑橘，柠檬，新鲜,柑橘调,5.8,柠檬味清新,1.25
014,8008-57-9,甜橙油,Sweet Orange Oil,,,,,溶于乙醇,橙黄色液体,3.5,是,食品/电子烟,甜橙，果味，新鲜,柑橘调,6.2,甜橙味饱满,0.95
015,79-77-6,β-紫罗酮,beta-Ionone,C13H20O,,192.3,266.0,微溶于水,无色液体,1.0,是,食品/电子烟,花的，木质，浆果,花香调,4.8,花香雅致,1.1
